name,probability,correl,state_0_mean,state_1_mean,state_2_mean,state_0_next_mean,state_1_next_mean,state_2_next_mean,pca_n_components,k_features,features
bumpy-brass-dodo,5.19161139999206,0.960569328775808,-1.1695010767306,0.0677984535706016,0.461473253989974,-0.0112913365364655,0.0618649466150361,0.0573645319314576,13,4,"['return', 'linearreg_slope', 'var', '1_day_change', 'ht_dcperiod']"
stealthy-aquamarine-schnauzer,0.0122041690966214,0.999094451448616,-0.957296503067074,0.0776173105304355,0.594886818784241,-0.139599170914939,0.0618051675623779,0.143274051604886,6,6,"['return', 'ultosc', 'plus_di', 'intraday_change', 'natr', 'trange', 'rsi']"
cloudy-cobalt-mayfly,0.0902891318735971,0.935090693130199,-0.116516115007536,-0.0582291899476461,0.264688270549671,0.013693620613356,-0.0124929758543059,0.142227716196233,4,13,"['return', 'linearreg_slope', 'ppo', 'minus_di', 'rsi', 'trange', 'stochrsi_fastk', 'stochf_fastd', 'bop', 'var', 'stochf_fastk', 'roc', 'macdfix', 'obv']"
cranky-tomato-monkey,0.0133909064937227,0.998838709939002,-0.0509614898714733,0.0880901287147404,0.129731836931428,0.00138688646783019,0.0675168072230954,0.0901938771517703,6,8,"['return', 'macd_signal', 'ht_sine', 'macdfix_signal', 'macd_hist', 'plus_di', 'macd', 'stochrsi_fastk', 'mom']"
cheeky-periwinkle-badger,0.0675412601015575,0.999338596076169,-0.659853652630809,0.133247440714584,0.492070449270845,0.00722991234794139,0.056777467763107,0.074614327056538,13,6,"['return', 'stochrsi_fastk', 'adx', 'aroonosc', 'rsi', 'rocr100', 'willr']"
homely-lilac-barb,0.00611796629493301,0.958389472032597,-0.291249487667396,0.0956184386584492,0.271334251181613,-0.0131917662993826,0.0457124993793003,0.11858152439082,6,13,"['return', 'correl', 'stochrsi_fastk', 'stochf_fastk', 'ht_leadsine', 'stochrsi_fastd', 'var', 'roc', 'linearreg_slope', 'ppo', 'dx', 'macd_hist', 'mom', '1_day_change']"
grumpy-bronze-okapi,4.80302047872019e-06,0.973155315879318,-0.00423044358705762,0.0650415105533379,0.130895204871511,0.0111717076047684,0.0699351687800813,0.0877582298493646,12,13,"['return', 'macd', 'macdfix', 'natr', 'mom', 'stddev', 'macdfix_hist', 'var', 'ht_sine', 'cmo', 'ht_phasor_inphase', 'adosc', 'trange', 'rocr']"
sickly-carmine-caiman,0.0305498508168388,0.997344479964332,-0.359720555048732,0.0853946828240607,0.489845730211431,-0.0951236455100202,0.0600843832468532,0.22304151948641,6,7,"['return', 'adosc', 'minus_di', 'rsi', 'intraday_change', 'natr', 'volume', 'beta']"
muggy-rust-weasel,1.42655913860687,0.993904931749767,-0.227564028797742,-0.0171862674191988,0.176987528743134,-0.0253340771629276,0.0429901793970061,0.0797091322257531,6,3,"['return', 'mom', 'minus_di', 'willr']"
shaky-crimson-leopard,6.37053025613236,0.999674087757876,-0.255473142715473,0.0394170743862262,0.215515157704317,-0.0521140842490378,0.0503458629281304,0.0995343045224011,14,6,"['return', 'roc', 'cci', 'stochf_fastk', 'rocp', 'minus_di', 'ht_phasor_quadrature']"
ready-silver-tiger,203.725015527034,0.994443079615906,-0.593644901058987,0.184021763459414,1.00590145101458,-0.0453014683781336,0.0652717339170637,0.225958321728315,7,3,"['return', 'rocr100', 'stochf_fastk', 'roc']"
queasy-cyan-tzu,19.1477495383369,0.995909212942165,-1.43359270860491,0.102788342583265,0.738448145788313,-0.0541083166810541,0.0585739894426052,0.0868815758300636,8,7,"['return', 'macd_signal', 'stochrsi_fastd', 'bop', 'macd', '1_day_change', 'macdfix_hist', 'ht_phasor_inphase']"
nippy-azure-bandicoot,8.38101682616822e-11,0.999852063235853,-0.691249314207785,0.129133759267545,0.523465376927647,-5.76957695733272e-05,0.0558924618780901,0.0830897489476556,14,12,"['return', 'rocr', 'macdfix_hist', 'stddev', 'linearreg_slope', 'linearreg_intercept', 'bop', 'volume', 'stochrsi_fastk', 'ht_phasor_inphase', 'stochrsi_fastd', 'willr', '1_day_change']"
