,_id,ask,bid,expiration,impliedvolatility,lastprice,lasttradedate,openinterest,quotetime,ticker,strike,contractsymbol,type,underlying_price,updatedate,update_datetime,update_hour,updatetime,volume
2,SPY190311C00255000_20190204_08,0.0,0.0,2019-03-11,1e-05,16.97,2019-02-01 18:48:08,,2019-02-04T14:40:00.000Z,SPY,255.0,SPY190311C00255000,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,17.0
3,SPY190311C00260000_20190204_08,0.0,0.0,2019-03-11,1e-05,12.15,2019-02-01 19:57:59,,2019-02-04T14:40:00.000Z,SPY,260.0,SPY190311C00260000,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,16.0
7,SPY190311C00265000_20190204_08,0.0,0.0,2019-03-11,1e-05,8.64,2019-02-01 18:57:31,,2019-02-04T14:40:00.000Z,SPY,265.0,SPY190311C00265000,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,781.0
13,SPY190311C00270000_20190204_08,0.0,0.0,2019-03-11,0.0009865527,5.3,2019-02-01 18:43:43,,2019-02-04T14:40:00.000Z,SPY,270.0,SPY190311C00270000,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,429.0
18,SPY190311C00275000_20190204_08,0.0,0.0,2019-03-11,0.0156348438,2.89,2019-02-01 16:36:22,,2019-02-04T14:40:00.000Z,SPY,275.0,SPY190311C00275000,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,725.0
24,SPY190311C00280000_20190204_08,0.0,0.0,2019-03-11,0.0312596875,1.0,2019-02-01 20:42:57,,2019-02-04T14:40:00.000Z,SPY,280.0,SPY190311C00280000,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,167.0
28,SPY190311C00285000_20190204_08,0.0,0.0,2019-03-11,0.0312596875,0.33,2019-02-01 20:12:25,,2019-02-04T14:40:00.000Z,SPY,285.0,SPY190311C00285000,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,12.0
35,SPY190311C00290000_20190204_08,0.0,0.0,2019-03-11,0.062509375,0.14,2019-02-01 18:45:04,,2019-02-04T14:40:00.000Z,SPY,290.0,SPY190311C00290000,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,5.0
0,SPY190322C00247500_20190204_08,0.0,0.0,2019-03-22,1e-05,24.45,2019-02-01 17:24:50,,2019-02-04T14:40:00.000Z,SPY,247.5,SPY190322C00247500,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,1.0
1,SPY190322C00254000_20190204_08,0.0,0.0,2019-03-22,1e-05,19.05,2019-02-01 15:19:06,,2019-02-04T14:40:00.000Z,SPY,254.0,SPY190322C00254000,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,1.0
