,date,balance
0,2017-01-18,10000.0
1,2017-01-19,9982.8
2,2017-01-20,10027.95
3,2017-01-23,10043.0
4,2017-01-24,10178.45
5,2017-01-25,10380.55
6,2017-01-26,10395.6
7,2017-01-27,10436.45
8,2017-01-30,10281.65
9,2017-01-31,10238.65
10,2017-02-01,10376.25
11,2017-02-02,10356.9
12,2017-02-03,10410.65
13,2017-02-06,10438.6
14,2017-02-07,10516.0
15,2017-02-08,10554.7
16,2017-02-09,10627.8
17,2017-02-10,10696.6
18,2017-02-13,10817.0
19,2017-02-14,10885.8
20,2017-02-15,11010.5
21,2017-02-16,11006.2
22,2017-02-17,11102.95
23,2017-02-21,11208.3
24,2017-02-22,11216.9
25,2017-02-23,11137.35
26,2017-02-24,11171.75
27,2017-02-27,11201.85
28,2017-02-28,11133.05
29,2017-03-01,11371.7
30,2017-03-02,11259.9
31,2017-03-03,11298.6
32,2017-03-06,11251.3
33,2017-03-07,11206.15
34,2017-03-08,11247.0
35,2017-03-09,11262.05
36,2017-03-10,11358.8
37,2017-03-13,11393.2
38,2017-03-14,11333.0
39,2017-03-15,11474.9
40,2017-03-16,11466.3
41,2017-03-17,11444.8
42,2017-03-20,11470.6
43,2017-03-21,11128.75
44,2017-03-22,11272.8
45,2017-03-23,11221.2
46,2017-03-24,11253.45
47,2017-03-27,11298.6
48,2017-03-28,11431.9
49,2017-03-29,11537.25
50,2017-03-30,11571.65
51,2017-03-31,11558.75
52,2017-04-03,11541.55
53,2017-04-04,11573.8
54,2017-04-05,11485.65
55,2017-04-06,11496.4
56,2017-04-07,11483.5
57,2017-04-10,11494.25
58,2017-04-11,11397.5
59,2017-04-12,11302.9
60,2017-04-13,11206.15
61,2017-04-17,11391.05
62,2017-04-18,11360.95
63,2017-04-19,11393.2
64,2017-04-20,11573.8
65,2017-04-21,11573.8
66,2017-04-24,11851.15
67,2017-04-25,12023.15
68,2017-04-26,11988.75
69,2017-04-27,12128.5
70,2017-04-28,12173.65
71,2017-05-01,12377.9
72,2017-05-02,12427.35
73,2017-05-03,12347.8
74,2017-05-04,12356.4
75,2017-05-05,12444.55
76,2017-05-08,12498.3
77,2017-05-09,12586.45
78,2017-05-10,12597.2
79,2017-05-11,12577.85
80,2017-05-12,12633.75
81,2017-05-15,12711.15
82,2017-05-16,12820.8
83,2017-05-17,12165.05
84,2017-05-18,12371.45
85,2017-05-19,12481.1
86,2017-05-22,12691.8
87,2017-05-23,12711.15
88,2017-05-24,12833.7
89,2017-05-25,13044.4
90,2017-05-26,13089.55
91,2017-05-30,13115.35
92,2017-05-31,13098.15
93,2017-06-01,13212.1
94,2017-06-02,13498.05
95,2017-06-05,13495.9
96,2017-06-06,13397.0
97,2017-06-07,13491.6
98,2017-06-08,13523.85
99,2017-06-09,12846.6
100,2017-06-12,12704.7
101,2017-06-13,12908.95
102,2017-06-14,12795.0
103,2017-06-15,12674.6
104,2017-06-16,12584.3
105,2017-06-19,12986.35
106,2017-06-20,12788.55
107,2017-06-21,13035.8
108,2017-06-22,13027.2
109,2017-06-23,13121.8
110,2017-06-26,13003.55
111,2017-06-27,12534.85
112,2017-06-28,12881.0
113,2017-06-29,12440.25
114,2017-06-30,12425.2
115,2017-07-03,12188.7
116,2017-07-05,12423.05
117,2017-07-06,12197.3
118,2017-07-07,12451.0
119,2017-07-10,12623.0
120,2017-07-11,12691.8
121,2017-07-12,12999.25
122,2017-07-13,13053.0
123,2017-07-14,13248.65
124,2017-07-17,13263.7
125,2017-07-18,13444.3
126,2017-07-19,13599.1
127,2017-07-20,13633.5
128,2017-07-21,13614.15
129,2017-07-24,13734.55
130,2017-07-25,13676.5
131,2017-07-26,13760.35
132,2017-07-27,13599.1
133,2017-07-28,13562.55
134,2017-07-31,13442.15
135,2017-08-01,13500.2
136,2017-08-02,13573.3
137,2017-08-03,13483.0
138,2017-08-04,13517.4
139,2017-08-07,13680.8
140,2017-08-08,13642.1
141,2017-08-09,13603.4
142,2017-08-10,13014.3
143,2017-08-11,13209.95
144,2017-08-14,13551.8
145,2017-08-15,13569.0
146,2017-08-16,13620.6
147,2017-08-17,13065.9
148,2017-08-18,13031.5
149,2017-08-21,13016.45
150,2017-08-22,13403.45
151,2017-08-23,13302.4
152,2017-08-24,13233.6
153,2017-08-25,13173.4
154,2017-08-28,13240.05
155,2017-08-29,13349.7
156,2017-08-30,13667.9
157,2017-08-31,13921.6
158,2017-09-01,13919.45
159,2017-09-05,13663.6
160,2017-09-06,13743.15
161,2017-09-07,13809.8
162,2017-09-08,13575.45
163,2017-09-11,13867.85
164,2017-09-12,13945.25
165,2017-09-13,13983.95
166,2017-09-14,13816.25
167,2017-09-15,13904.4
168,2017-09-18,13874.3
169,2017-09-19,13921.6
170,2017-09-20,13839.9
171,2017-09-21,13659.3
172,2017-09-22,13637.8
173,2017-09-25,13354.0
174,2017-09-26,13418.5
175,2017-09-27,13657.15
176,2017-09-28,13644.25
177,2017-09-29,13835.6
178,2017-10-02,13854.95
179,2017-10-03,13923.75
180,2017-10-04,13943.1
181,2017-10-05,14218.3
182,2017-10-06,14248.4
183,2017-10-09,14222.6
184,2017-10-10,14241.95
185,2017-10-11,14327.95
186,2017-10-12,14274.2
187,2017-10-13,14377.4
188,2017-10-16,14476.3
189,2017-10-17,14508.55
190,2017-10-18,14476.3
191,2017-10-19,14368.8
192,2017-10-20,14441.9
193,2017-10-23,14254.85
194,2017-10-24,14308.6
195,2017-10-25,14192.5
196,2017-10-26,14110.8
197,2017-10-27,14906.3
198,2017-10-30,14988.0
199,2017-10-31,15095.5
200,2017-11-01,15089.05
201,2017-11-02,15020.25
202,2017-11-03,15304.05
203,2017-11-06,15411.55
204,2017-11-07,15428.75
205,2017-11-08,15555.6
206,2017-11-09,15383.6
207,2017-11-10,15387.9
208,2017-11-13,15420.15
209,2017-11-14,15314.8
210,2017-11-15,15155.7
211,2017-11-16,15549.15
212,2017-11-17,15430.9
213,2017-11-20,15405.1
214,2017-11-21,15731.9
215,2017-11-22,15774.9
216,2017-11-24,15891.0
217,2017-11-27,15873.8
218,2017-11-28,15953.35
219,2017-11-29,15407.25
220,2017-11-30,15654.5
221,2017-12-01,15521.2
222,2017-12-04,15164.3
223,2017-12-05,15168.6
224,2017-12-06,15306.2
225,2017-12-07,15413.7
226,2017-12-08,15549.15
227,2017-12-11,15789.95
228,2017-12-12,15744.8
229,2017-12-13,15800.7
230,2017-12-14,15777.05
231,2017-12-15,16121.05
232,2017-12-18,16398.4
233,2017-12-19,16213.5
234,2017-12-20,16172.65
235,2017-12-21,16174.8
236,2017-12-22,16136.1
237,2017-12-26,15961.95
238,2017-12-27,15964.1
239,2017-12-28,15996.35
240,2017-12-29,15794.25
241,2018-01-02,16340.35
242,2018-01-03,16658.55
243,2018-01-04,16718.75
244,2018-01-05,17049.85
245,2018-01-08,17176.7
246,2018-01-09,17191.75
247,2018-01-10,17097.15
248,2018-01-11,17333.65
249,2018-01-12,17578.75
250,2018-01-16,17479.85
251,2018-01-17,17856.1
252,2018-01-18,17862.55
253,2018-01-19,17976.5
254,2018-01-22,18357.05
255,2018-01-23,18655.9
256,2018-01-24,18428.0
257,2018-01-25,18404.35
258,2018-01-26,18941.85
259,2018-01-29,18772.0
260,2018-01-30,18471.0
261,2018-01-31,18606.45
262,2018-02-01,18299.0
263,2018-02-02,17559.4
264,2018-02-05,17559.4
265,2018-02-06,17559.4
266,2018-02-07,17559.4
267,2018-02-08,17559.4
268,2018-02-09,17559.4
269,2018-02-12,17559.4
270,2018-02-13,17559.4
271,2018-02-14,17559.4
272,2018-02-15,17559.4
273,2018-02-16,17559.4
274,2018-02-20,17559.4
275,2018-02-21,17399.17
276,2018-02-22,17402.44
277,2018-02-23,18439.03
278,2018-02-26,19181.32
279,2018-02-27,18494.62
280,2018-02-28,18121.84
281,2018-03-01,17248.75
282,2018-03-02,17248.75
283,2018-03-05,17248.75
284,2018-03-06,17467.43
285,2018-03-07,17596.79
286,2018-03-08,17858.59
287,2018-03-09,18896.55
288,2018-03-12,19179.91
289,2018-03-13,18483.83
290,2018-03-14,18422.23
291,2018-03-15,18339.07
292,2018-03-16,18218.95
293,2018-03-19,17076.27
294,2018-03-20,17076.27
295,2018-03-21,17076.27
296,2018-03-22,17076.27
297,2018-03-23,17076.27
298,2018-03-26,17076.27
299,2018-03-27,17076.27
300,2018-03-28,17076.27
301,2018-03-29,17076.27
302,2018-04-02,17076.27
303,2018-04-03,17076.27
304,2018-04-04,17076.27
305,2018-04-05,17076.27
306,2018-04-06,17076.27
307,2018-04-09,17076.27
308,2018-04-10,18204.27
309,2018-04-11,17899.71
310,2018-04-12,18523.87
311,2018-04-13,18249.39
312,2018-04-16,18651.71
313,2018-04-17,19843.63
314,2018-04-18,19982.75
315,2018-04-19,19441.31
316,2018-04-20,18508.83
317,2018-04-23,18362.19
318,2018-04-24,17192.83
319,2018-04-25,17192.83
320,2018-04-26,18258.73
321,2018-04-27,18299.87
322,2018-04-30,17910.91
323,2018-05-01,17910.91
324,2018-05-02,17910.91
325,2018-05-03,17910.91
326,2018-05-04,17910.91
327,2018-05-07,18336.69
328,2018-05-08,18277.36
329,2018-05-09,18888.11
330,2018-05-10,19474.43
331,2018-05-11,19415.1
332,2018-05-14,19502.35
333,2018-05-15,18870.66
334,2018-05-16,19219.66
335,2018-05-17,19003.28
336,2018-05-18,18699.65
337,2018-05-21,18984.89
338,2018-05-22,18911.37
339,2018-05-23,19238.45
340,2018-05-24,19225.0
341,2018-05-25,19257.52
342,2018-05-29,19115.11
343,2018-05-30,19115.11
344,2018-05-31,19094.16
345,2018-06-01,19602.94
346,2018-06-04,19905.94
347,2018-06-05,20023.26
348,2018-06-06,20239.12
349,2018-06-07,19952.24
350,2018-06-08,19934.26
351,2018-06-11,20031.18
352,2018-06-12,20223.12
353,2018-06-13,20206.91
354,2018-06-14,20626.49
355,2018-06-15,20482.19
356,2018-06-18,20457.77
357,2018-06-19,20333.45
358,2018-06-20,20622.05
359,2018-06-21,20257.97
360,2018-06-22,20129.21
361,2018-06-25,19256.75
362,2018-06-26,19256.75
363,2018-06-27,19256.75
364,2018-06-28,19256.75
365,2018-06-29,19256.75
366,2018-07-02,19256.75
367,2018-07-03,19256.75
368,2018-07-05,19256.75
369,2018-07-06,19256.75
370,2018-07-09,19569.13
371,2018-07-10,19615.78
372,2018-07-11,19329.66
373,2018-07-12,20281.32
374,2018-07-13,20340.41
375,2018-07-16,20230.58
376,2018-07-17,20493.36
377,2018-07-18,20408.94
378,2018-07-19,20227.47
379,2018-07-20,20207.61
380,2018-07-23,20311.72
381,2018-07-24,20457.96
382,2018-07-25,20937.27
383,2018-07-26,20382.99
384,2018-07-27,19822.31
385,2018-07-30,19255.21
386,2018-07-31,19475.63
387,2018-08-01,19681.07
388,2018-08-02,20216.07
389,2018-08-03,20331.63
390,2018-08-06,20584.15
391,2018-08-07,20706.13
392,2018-08-08,20742.51
393,2018-08-09,20725.39
394,2018-08-10,20417.23
395,2018-08-13,20380.85
396,2018-08-14,20626.95
397,2018-08-15,20132.61
398,2018-08-16,20243.89
399,2018-08-17,20254.59
400,2018-08-20,20224.63
401,2018-08-21,20363.73
402,2018-08-22,20513.53
403,2018-08-23,20453.61
404,2018-08-24,20828.11
405,2018-08-27,21247.55
406,2018-08-28,21313.89
407,2018-08-29,21806.09
408,2018-08-30,21714.07
409,2018-08-31,21765.43
410,2018-09-04,21589.95
411,2018-09-05,21031.41
412,2018-09-06,20652.63
413,2018-09-07,20524.23
414,2018-09-10,20618.39
415,2018-09-11,20930.83
416,2018-09-12,20819.55
417,2018-09-13,21226.15
418,2018-09-14,21114.87
419,2018-09-17,20519.95
420,2018-09-18,20847.37
421,2018-09-19,20821.69
422,2018-09-20,21253.97
423,2018-09-21,21037.83
424,2018-09-24,21140.55
425,2018-09-25,21206.89
426,2018-09-26,21221.87
427,2018-09-27,21581.39
428,2018-09-28,21585.67
429,2018-10-01,21656.29
430,2018-10-02,21555.71
431,2018-10-03,21617.77
432,2018-10-04,20781.03
433,2018-10-05,20284.55
434,2018-10-08,20023.47
435,2018-10-09,20134.75
436,2018-10-10,18384.23
437,2018-10-11,18384.23
438,2018-10-12,18384.23
439,2018-10-15,18384.23
440,2018-10-16,18384.23
441,2018-10-17,18384.23
442,2018-10-18,18384.23
443,2018-10-19,18384.23
444,2018-10-22,18384.23
445,2018-10-23,18384.23
446,2018-10-24,18384.23
447,2018-10-25,18384.23
