,date,balance
0,2017-01-18,10000.0
1,2017-01-19,9995.14
2,2017-01-20,10017.01
3,2017-01-23,10025.11
4,2017-01-24,10092.34
5,2017-01-25,10193.59
6,2017-01-26,10204.12
7,2017-01-27,10223.56
8,2017-01-30,10144.18
9,2017-01-31,10123.93
10,2017-02-01,10193.59
11,2017-02-02,10184.68
12,2017-02-03,10213.84
13,2017-02-06,10225.99
14,2017-02-07,10263.25
15,2017-02-08,10280.26
16,2017-02-09,10317.52
17,2017-02-10,10351.54
18,2017-02-13,10409.86
19,2017-02-14,10444.69
20,2017-02-15,10506.25
21,2017-02-16,10503.01
22,2017-02-17,10548.37
23,2017-02-21,10600.21
24,2017-02-22,10604.26
25,2017-02-23,10564.57
26,2017-02-24,10584.82
27,2017-02-27,10597.78
28,2017-02-28,10565.38
29,2017-03-01,10680.4
30,2017-03-02,10626.94
31,2017-03-03,10646.38
32,2017-03-06,10622.89
33,2017-03-07,10605.07
34,2017-03-08,10623.7
35,2017-03-09,10631.8
36,2017-03-10,10676.35
37,2017-03-13,10694.17
38,2017-03-14,10668.25
39,2017-03-15,10733.86
40,2017-03-16,10726.57
41,2017-03-17,10700.65
42,2017-03-20,10710.37
43,2017-03-21,10548.37
44,2017-03-22,10619.65
45,2017-03-23,10592.92
46,2017-03-24,10614.79
47,2017-03-27,10631.8
48,2017-03-28,10696.6
49,2017-03-29,10746.01
50,2017-03-30,10763.83
51,2017-03-31,10756.54
52,2017-04-03,10750.06
53,2017-04-04,10767.07
54,2017-04-05,10723.33
55,2017-04-06,10729.0
56,2017-04-07,10723.33
57,2017-04-10,10727.38
58,2017-04-11,10681.21
59,2017-04-12,10638.28
60,2017-04-13,10596.16
61,2017-04-17,10683.64
62,2017-04-18,10667.44
63,2017-04-19,10684.45
64,2017-04-20,10773.55
65,2017-04-21,10771.12
66,2017-04-24,10900.72
67,2017-04-25,10979.29
68,2017-04-26,10963.9
69,2017-04-27,11029.51
70,2017-04-28,11048.95
71,2017-05-01,11146.96
72,2017-05-02,11165.59
73,2017-05-03,11129.95
74,2017-05-04,11134.0
75,2017-05-05,11174.5
76,2017-05-08,11198.8
77,2017-05-09,11237.68
78,2017-05-10,11244.16
79,2017-05-11,11235.25
80,2017-05-12,11260.36
81,2017-05-15,11296.0
82,2017-05-16,11342.98
83,2017-05-17,11055.43
84,2017-05-18,11151.82
85,2017-05-19,11198.8
