Date,Open,High,Low,Close,Adj Close,Volume,state
2015-09-09,16.59,16.6,15.35,15.48,15.48,35160600,1.0
2015-09-10,15.42,16.29,15.36,15.98,15.98,30895200,1.0
2015-09-11,15.76,16.24,15.62,16.24,16.24,23715000,1.0
2015-09-14,16.42,16.42,15.91,16.09,16.09,22083000,1.0
2015-09-15,16.21,16.82,16.03,16.65,16.65,19081800,2.0
2015-09-16,16.68,16.99,16.5,16.93,16.93,17551800,1.0
2015-09-17,16.91,17.73,16.75,16.98,16.98,30295200,1.0
2015-09-18,16.2,16.84,16.16,16.26,16.26,34042800,1.0
2015-09-21,16.51,16.79,15.96,16.4,16.4,25039200,1.0
2015-09-22,15.64,15.82,15.21,15.67,15.67,35474400,1.0
2015-09-23,15.78,15.91,15.45,15.7,15.7,27970200,1.0
2015-09-24,15.23,15.7,14.83,15.52,15.52,36729600,1.0
2015-09-25,16.04,16.07,14.84,15.14,15.14,35478000,1.0
2015-09-28,14.93,14.96,13.7,13.84,13.84,45007200,2.0
2015-09-29,13.94,14.36,13.32,13.63,13.63,45718800,2.0
2015-09-30,14.2,14.6,14.03,14.53,14.53,41733000,2.0
2015-10-01,14.62,14.74,14.05,14.73,14.73,27408000,2.0
2015-10-02,14.14,15.52,14.0,15.5,15.5,39675600,2.0
2015-10-05,15.86,16.31,15.76,16.21,16.21,26019000,2.0
2015-10-06,16.09,16.23,15.57,15.98,15.98,28765200,0.0
2015-10-07,16.26,16.34,15.63,16.23,16.23,31638600,0.0
2015-10-08,16.06,16.52,15.59,16.43,16.43,36484200,0.0
2015-10-09,16.45,16.75,16.32,16.63,16.63,21903000,0.0
2015-10-12,16.76,16.87,16.57,16.77,16.77,19067400,0.0
2015-10-13,16.48,17.0,16.4,16.44,16.44,26620800,0.0
2015-10-14,16.45,16.69,16.16,16.37,16.37,22916400,0.0
2015-10-15,16.55,17.17,16.49,17.17,17.17,26821200,1.0
2015-10-16,17.28,17.42,17.03,17.39,17.39,16580400,1.0
2015-10-19,17.31,17.73,17.21,17.7,17.7,20452800,1.0
2015-10-20,17.59,17.71,17.24,17.4,17.4,18156600,1.0
2015-10-21,17.68,17.73,17.07,17.12,17.12,22062000,1.0
2015-10-22,17.55,18.18,17.41,18.14,18.14,32469000,1.0
2015-10-23,19.6,19.89,19.31,19.65,19.65,25507200,0.0
2015-10-26,19.62,19.81,19.4,19.7,19.7,14986200,0.0
2015-10-27,19.55,19.9,19.53,19.83,19.83,13057800,0.0
2015-10-28,19.92,20.31,19.43,20.29,20.29,26119800,1.0
2015-10-29,20.03,20.32,19.97,20.22,20.22,12478200,1.0
2015-10-30,20.25,20.35,19.94,19.94,19.94,15009000,1.0
2015-11-02,20.09,20.69,19.98,20.62,20.62,13825200,1.0
2015-11-03,20.5,21.06,20.4,20.82,20.82,15453000,1.0
2015-11-04,21.02,21.08,20.58,20.83,20.83,18229200,1.0
2015-11-05,20.89,21.04,20.34,20.64,20.64,17781600,1.0
2015-11-06,20.56,20.78,20.15,20.71,20.71,17031000,1.0
2015-11-09,20.47,20.56,19.66,20.05,20.05,18914400,1.0
2015-11-10,19.73,19.94,19.55,19.9,19.9,12340200,1.0
2015-11-11,20.06,20.34,19.72,19.82,19.82,12603600,1.0
2015-11-12,19.56,19.86,19.2,19.24,19.24,17241000,0.0
2015-11-13,19.0,19.06,18.08,18.11,18.11,24712200,0.0
2015-11-16,18.05,18.89,17.92,18.86,18.86,23193000,0.0
2015-11-17,18.98,19.33,18.77,18.93,18.93,27676800,0.0
2015-11-18,19.14,20.07,19.09,20.01,20.01,24534600,2.0
2015-11-19,20.05,20.32,19.94,20.04,20.04,12994800,2.0
2015-11-20,20.32,20.5,20.27,20.44,20.44,12749400,1.0
2015-11-23,20.47,20.7,20.02,20.28,20.28,14109600,1.0
