Date,Open,High,Low,Close,Adj Close,Volume
2017-09-08,246.54,247.11,-5,1.0,1.0,63832800
2017-09-11,248.04,249.3,-5,1.0,1.0,71364800
2017-09-12,249.63,250.09,-5,1.0,1.0,56896000
2017-09-13,249.72,250.21,-5,1.0,1.0,59228000
2017-09-14,249.8,250.32,-5,1.0,1.0,95446300
2017-09-15,248.69,249.29,-5,1.0,1.0,95432400
2017-09-18,249.61,250.12,-5,1.0,1.0,46235200
2017-09-19,250.0,250.07,-5,1.0,1.0,47108100
2017-09-20,250.07,250.19,-5,1.0,1.0,59574100
2017-09-21,249.88,249.98,-5,1.0,1.0,48211400
2017-09-22,249.05,249.63,-5,1.0,1.0,51214000
2017-09-25,249.15,249.55,-5,1.0,1.0,57064400
2017-09-26,249.42,249.7,-5,1.0,1.0,54082000
2017-09-27,249.88,250.49,-5,1.0,1.0,81001400
2017-09-28,249.73,250.44,-5,1.0,1.0,44778800
2017-09-29,250.34,251.32,-5,1.0,1.0,85578000
2017-10-02,251.49,252.32,-5,1.0,1.0,59023000
2017-10-03,252.32,252.89,-5,1.0,1.0,66810200
2017-10-04,252.69,253.44,-5,1.0,1.0,55953600
2017-10-05,253.54,254.68,-5,1.0,1.0,63522800
2017-10-06,254.15,254.7,-5,1.0,1.0,80646000
2017-10-09,254.63,254.7,-5,1.0,1.0,35803100
2017-10-10,254.6,255.05,-5,1.0,1.0,43057400
2017-10-11,254.51,255.02,-5,1.0,1.0,47674300
2017-10-12,254.66,255.06,-5,1.0,1.0,47065100
2017-10-13,255.14,255.27,-5,1.0,1.0,54800400
2017-10-16,255.21,255.51,-5,1.0,1.0,38221700
2017-10-17,255.23,255.52,-5,1.0,1.0,31561000
2017-10-18,255.9,255.95,-5,1.0,1.0,40888300
2017-10-19,254.83,255.83,-5,1.0,1.0,61903800
2017-10-20,256.7,257.14,-5,1.0,1.0,89176400
2017-10-23,257.48,257.51,-5,1.0,1.0,63915300
2017-10-24,256.6,256.83,-5,1.0,1.0,66935900
2017-10-25,256.18,256.31,-5,1.0,1.0,103715300
2017-10-26,255.99,256.3,-5,1.0,1.0,69798000
2017-10-27,256.47,257.89,-5,1.0,1.0,85562500
2017-10-30,256.47,257.6,-5,1.0,1.0,54285700
2017-10-31,257.18,257.44,-5,1.0,1.0,60304800
2017-11-01,258.04,258.43,-5,1.0,1.0,54202700
2017-11-02,257.41,257.75,-5,1.0,1.0,56449500
2017-11-03,257.77,258.5,-5,1.0,1.0,59589700
2017-11-06,258.3,259.0,-5,1.0,1.0,49652600
2017-11-07,258.97,259.35,-5,1.0,1.0,57502200
2017-11-08,258.47,259.22,-5,1.0,1.0,50469600
2017-11-09,257.73,258.39,-5,1.0,1.0,95085500
2017-11-10,257.73,258.29,-5,1.0,1.0,59984700
2017-11-13,257.31,258.59,-5,1.0,1.0,50228600
2017-11-14,257.41,257.85,-5,1.0,1.0,61315200
2017-11-15,256.62,257.22,-5,1.0,1.0,80811500
2017-11-16,257.52,259.04,-5,1.0,1.0,67777000
2017-11-17,258.22,258.59,-5,1.0,1.0,75756800
2017-11-20,258.14,258.52,-5,1.0,1.0,48075500
2017-11-21,259.18,260.2,-5,1.0,1.0,69176800
2017-11-22,260.0,260.15,-5,1.0,1.0,45033400
2017-11-24,260.32,260.48,-5,1.0,1.0,27856500
2017-11-27,260.41,260.75,-5,1.0,1.0,52274900
2017-11-28,260.76,262.9,-5,1.0,1.0,98971700
2017-11-29,263.02,263.63,-5,1.0,1.0,77512100
2017-11-30,263.76,266.05,-5,1.0,1.0,127894400
2017-12-01,264.76,265.31,-5,1.0,1.0,164390900
2017-12-04,266.31,266.8,-5,1.0,1.0,94040600
2017-12-05,263.19,265.15,-5,1.0,1.0,77994500
2017-12-06,263.3,263.73,-5,1.0,1.0,75898600
2017-12-07,264.07,264.43,-5,1.0,1.0,77218600
2017-12-08,265.16,265.52,-5,1.0,1.0,76563900
2017-12-11,266.31,266.38,-5,1.0,1.0,83077500
2017-12-12,267.21,267.32,-5,1.0,1.0,85195800
2017-12-13,267.06,267.56,-5,1.0,1.0,102905400
2017-12-14,267.09,267.22,-5,1.0,1.0,100666700
2017-12-15,265.45,267.04,-5,1.0,1.0,144610300
2017-12-18,268.1,268.6,-5,1.0,1.0,83653600
2017-12-19,268.48,268.53,-5,1.0,1.0,82382900
2017-12-20,268.27,268.33,-5,1.0,1.0,76751500
2017-12-21,267.74,268.39,-5,1.0,1.0,67032300
2017-12-22,267.6,267.64,-5,1.0,1.0,78720900
2017-12-26,267.05,267.44,-5,1.0,1.0,45244400
2017-12-27,267.38,267.73,-5,1.0,1.0,57751000
2017-12-28,267.89,267.92,-5,1.0,1.0,45116100
2017-12-29,268.53,268.55,-5,1.0,1.0,96007400
2018-01-02,267.84,268.81,-5,1.0,1.0,86655700
2018-01-03,268.96,270.64,-5,1.0,1.0,90070400
2018-01-04,271.2,272.16,-5,1.0,1.0,80636400
2018-01-05,272.51,273.56,-5,1.0,1.0,83524000
2018-01-08,273.31,274.1,-5,1.0,1.0,57319200
2018-01-09,274.4,275.25,-5,1.0,1.0,57254000
2018-01-10,273.68,274.42,-5,1.0,1.0,69574300
2018-01-11,274.75,276.12,-5,1.0,1.0,62361500
2018-01-12,276.42,278.11,-5,1.0,1.0,90816100
2018-01-16,279.35,280.09,-5,1.0,1.0,106555100
2018-01-17,278.03,280.05,-5,1.0,1.0,113258800
2018-01-18,279.48,279.96,-5,1.0,1.0,100728000
2018-01-19,279.8,280.41,-5,1.0,1.0,140920100
2018-01-22,280.17,282.69,-5,1.0,1.0,91322400
2018-01-23,282.74,283.62,-5,1.0,1.0,97084700
2018-01-24,284.02,284.7,-5,1.0,1.0,134816100
2018-01-25,284.16,284.27,-5,1.0,1.0,84587300
2018-01-26,284.25,286.63,-5,1.0,1.0,107743100
2018-01-29,285.93,286.43,-5,1.0,1.0,90118300
2018-01-30,282.6,284.74,-5,1.0,1.0,131796400
2018-01-31,282.73,283.3,-5,1.0,1.0,108364800
2018-02-01,281.07,283.06,-5,1.0,1.0,90102500
2018-02-02,280.08,280.23,-5,1.0,1.0,173174800
2018-02-05,273.45,275.85,-5,1.0,1.0,294681800
2018-02-06,259.94,269.7,-5,1.0,1.0,355026800
2018-02-07,268.5,272.36,-5,1.0,1.0,167376100
2018-02-08,268.01,268.17,-5,1.0,1.0,246449500
2018-02-09,260.8,263.61,-5,1.0,1.0,283565300
2018-02-12,263.83,267.01,-5,1.0,1.0,143736000
2018-02-13,263.97,266.62,-5,1.0,1.0,81223600
2018-02-14,264.31,270.0,-5,1.0,1.0,120735700
2018-02-15,271.57,273.04,-5,1.0,1.0,111200300
2018-02-16,272.32,275.32,-5,1.0,1.0,160420100
2018-02-20,272.03,273.67,-5,1.0,1.0,86369700
2018-02-21,271.9,274.72,-5,1.0,1.0,98883700
2018-02-22,271.1,273.05,-5,1.0,1.0,110511300
2018-02-23,271.79,274.71,-5,1.0,1.0,92766400
2018-02-26,275.93,278.01,-5,1.0,1.0,86491400
2018-02-27,278.11,278.92,-5,1.0,1.0,99099200
2018-02-28,275.68,276.19,-5,1.0,1.0,121907800
2018-03-01,271.41,273.17,-5,1.0,1.0,176855100
2018-03-02,265.8,269.72,-5,1.0,1.0,139083200
2018-03-05,267.73,272.89,-5,1.0,1.0,97307400
2018-03-06,273.3,273.39,-5,1.0,1.0,79213200
2018-03-07,270.42,273.18,-5,1.0,1.0,87063500
2018-03-08,273.55,274.24,-5,1.0,1.0,66901200
2018-03-09,275.7,278.87,-5,1.0,1.0,113625300
2018-03-12,279.2,279.91,-5,1.0,1.0,71924800
2018-03-13,279.84,280.41,-5,1.0,1.0,91968900
2018-03-14,277.81,278.02,-5,1.0,1.0,105895100
2018-03-15,275.88,276.61,-5,1.0,1.0,83433000
2018-03-16,274.5,275.39,-5,1.0,1.0,100343700
2018-03-19,273.35,274.4,-5,1.0,1.0,109208400
2018-03-20,270.94,271.67,-5,1.0,1.0,59757300
2018-03-21,270.9,273.27,-5,1.0,1.0,78709600
2018-03-22,267.91,268.87,-5,1.0,1.0,148785900
2018-03-23,264.17,264.54,-5,1.0,1.0,183534800
2018-03-26,262.13,265.43,-5,1.0,1.0,141956100
2018-03-27,266.17,266.77,-5,1.0,1.0,129941400
2018-03-28,260.75,262.64,-5,1.0,1.0,146452300
2018-03-29,261.12,265.26,-5,1.0,1.0,111601600
2018-04-02,262.55,263.13,-5,1.0,1.0,186286300
2018-04-03,258.87,261.31,-5,1.0,1.0,119956900
2018-04-04,256.75,264.36,-5,1.0,1.0,123715300
2018-04-05,265.55,266.64,-5,1.0,1.0,82652600
2018-04-06,263.42,265.11,-5,1.0,1.0,179521200
2018-04-09,261.37,264.84,-5,1.0,1.0,105442900
2018-04-10,264.27,266.04,-5,1.0,1.0,103529000
2018-04-11,263.47,265.64,-5,1.0,1.0,91140200
2018-04-12,265.26,267.0,-5,1.0,1.0,68890500
2018-04-13,267.41,267.54,-5,1.0,1.0,85079200
2018-04-16,267.0,268.2,-5,1.0,1.0,63405300
2018-04-17,269.33,270.87,-5,1.0,1.0,64682000
2018-04-18,270.69,271.3,-5,1.0,1.0,57303900
2018-04-19,269.65,269.88,-5,1.0,1.0,77655900
2018-04-20,268.81,269.06,-5,1.0,1.0,99953100
2018-04-23,267.26,267.89,-5,1.0,1.0,65558000
2018-04-24,267.73,267.98,-5,1.0,1.0,112885500
2018-04-25,262.91,264.13,-5,1.0,1.0,103840900
2018-04-26,264.79,267.25,-5,1.0,1.0,67731900
2018-04-27,267.0,267.34,-5,1.0,1.0,57053600
2018-04-30,267.26,267.89,-5,1.0,1.0,82182300
2018-05-01,263.87,265.1,-5,1.0,1.0,74203400
2018-05-02,264.76,265.68,-5,1.0,1.0,86368900
2018-05-03,262.26,263.36,-5,1.0,1.0,136311500
2018-05-04,261.52,266.79,-5,1.0,1.0,91222100
2018-05-07,266.89,268.02,-5,1.0,1.0,55304900
2018-05-08,266.5,267.33,-5,1.0,1.0,67499200
2018-05-09,267.68,269.87,-5,1.0,1.0,59666100
2018-05-10,270.34,272.39,-5,1.0,1.0,72063900
2018-05-11,272.16,273.15,-5,1.0,1.0,59871500
2018-05-14,273.34,274.08,-5,1.0,1.0,54790600
2018-05-15,271.59,271.61,-5,1.0,1.0,87036100
2018-05-16,271.14,272.76,-5,1.0,1.0,53942600
