Date,Open,High,Low,Close,Adj Close,Volume,state
2015-09-09,375.68,405.76,375.52,403.04,403.04,813800,1.0
2015-09-10,404.16,405.44,381.6,390.24,390.24,888600,1.0
2015-09-11,395.04,398.24,383.04,383.04,383.04,575000,1.0
2015-09-14,378.56,390.88,378.56,386.88,386.88,340500,1.0
2015-09-15,383.2,387.84,369.28,372.64,372.64,589700,1.0
2015-09-16,372.8,376.48,365.44,367.04,367.04,644300,1.0
2015-09-17,367.68,370.88,349.6,365.76,365.76,783000,1.0
2015-09-18,382.72,383.52,368.8,381.12,381.12,614800,1.0
2015-09-21,375.52,388.32,368.64,378.24,378.24,662000,1.0
2015-09-22,395.84,405.28,391.52,394.72,394.72,479500,0.0
2015-09-23,392.16,400.32,388.8,395.04,395.04,432900,0.0
2015-09-24,405.6,415.68,394.08,397.76,397.76,625800,0.0
2015-09-25,384.96,415.84,384.32,408.64,408.64,647200,0.0
2015-09-28,413.92,446.88,413.12,444.32,444.32,722200,0.0
2015-09-29,440.32,460.0,426.56,449.6,449.6,870100,0.0
2015-09-30,431.04,436.48,417.92,420.32,420.32,789900,0.0
2015-10-01,416.8,433.76,413.6,414.4,414.4,588100,0.0
2015-10-02,431.04,434.4,391.68,391.68,391.68,774500,1.0
2015-10-05,384.0,385.6,371.84,374.88,374.88,720300,1.0
2015-10-06,377.6,388.96,373.92,379.52,379.52,581300,1.0
2015-10-07,373.12,388.0,370.88,373.76,373.76,712100,1.0
2015-10-08,378.08,388.48,367.04,369.12,369.12,740100,0.0
2015-10-09,368.0,371.36,361.76,363.84,363.84,472500,0.0
2015-10-12,362.24,365.76,359.2,361.6,361.6,377400,0.0
2015-10-13,367.36,369.28,356.48,368.64,368.64,604000,0.0
2015-10-14,368.16,374.56,362.72,369.92,369.92,471200,0.0
2015-10-15,365.6,367.36,351.68,351.84,351.84,789700,0.0
2015-10-16,349.28,354.4,346.56,346.72,346.72,382500,0.0
2015-10-19,348.8,350.88,340.48,341.12,341.12,312900,0.0
2015-10-20,343.2,349.92,340.96,346.56,346.56,308000,0.0
2015-10-21,340.96,353.28,340.16,352.32,352.32,395200,0.0
2015-10-22,343.2,346.4,330.56,331.36,331.36,623500,0.0
2015-10-23,304.64,309.92,299.36,303.68,303.68,757800,0.0
2015-10-26,304.48,307.68,301.12,302.88,302.88,347200,0.0
2015-10-27,305.28,305.44,299.68,300.48,300.48,306500,0.0
2015-10-28,299.36,306.88,293.76,293.76,293.76,470400,0.0
2015-10-29,297.6,298.4,293.44,295.2,295.2,308200,0.0
2015-10-30,294.56,298.88,292.96,298.4,298.4,285800,0.0
2015-11-02,296.64,298.4,287.68,288.8,288.8,360200,0.0
2015-11-03,290.4,291.84,282.56,285.6,285.6,363100,0.0
2015-11-04,282.72,288.96,282.08,285.28,285.28,328300,0.0
2015-11-05,284.32,292.32,282.72,288.0,288.0,355000,1.0
2015-11-06,289.6,294.88,286.24,287.2,287.2,342800,1.0
2015-11-09,290.4,301.6,289.44,296.16,296.16,386700,1.0
2015-11-10,301.76,303.84,297.92,298.88,298.88,319700,1.0
2015-11-11,295.84,301.28,291.84,299.68,299.68,326900,1.0
2015-11-12,304.0,309.12,299.04,308.8,308.8,442500,1.0
2015-11-13,312.32,327.2,311.36,326.56,326.56,625600,1.0
2015-11-16,327.68,329.92,312.32,312.96,312.96,526300,1.0
2015-11-17,310.88,314.4,305.28,312.32,312.32,383600,1.0
2015-11-18,308.16,309.28,293.12,293.6,293.6,431700,1.0
2015-11-19,293.6,295.2,289.44,293.76,293.76,372000,1.0
2015-11-20,289.28,290.08,286.88,287.52,287.52,289600,0.0
2015-11-23,287.04,293.44,284.0,289.92,289.92,272700,0.0
2015-11-24,295.84,300.0,288.64,290.4,290.4,365200,1.0
2015-11-25,289.28,291.84,288.32,290.08,290.08,141500,1.0
2015-11-27,288.0,291.52,286.88,288.16,288.16,105200,1.0
2015-11-30,286.4,293.6,286.08,290.72,290.72,226200,1.0
2015-12-01,287.36,288.48,282.08,282.08,282.08,313000,1.0
2015-12-02,281.6,288.64,277.76,287.2,287.2,312500,1.0
2015-12-03,284.8,306.88,283.52,301.92,301.92,600100,1.0
2015-12-04,299.2,300.96,279.2,280.8,280.8,671800,1.0
2015-12-07,280.16,288.48,279.68,284.48,284.48,361700,1.0
2015-12-08,293.12,293.6,281.6,284.0,284.0,492000,1.0
2015-12-09,288.32,302.4,283.36,297.12,297.12,579600,1.0
2015-12-10,295.2,297.76,287.36,293.12,293.12,288800,1.0
2015-12-11,303.2,313.92,301.12,313.12,313.12,575600,1.0
2015-12-14,312.48,325.44,306.08,306.4,306.4,635300,1.0
2015-12-15,298.08,301.92,292.8,300.96,300.96,410600,1.0
2015-12-16,294.56,303.84,285.92,287.68,287.68,501100,1.0
2015-12-17,283.52,300.0,283.52,296.8,296.8,443500,0.0
2015-12-18,302.88,316.8,300.96,316.8,316.8,451600,1.0
2015-12-21,308.48,315.36,306.56,306.56,306.56,276900,1.0
2015-12-22,302.08,306.88,299.52,301.12,301.12,234700,1.0
2015-12-23,296.32,297.76,293.6,294.24,294.24,236300,1.0
