Date,Open,High,Low,Close,Adj Close,Volume,state
2017-09-08,108.48,111.16,108.32,110.76,110.76,1314600,0.0
2017-09-11,108.32,108.32,106.48,107.24,107.24,1511500,0.0
2017-09-12,106.16,107.8,105.84,106.28,106.28,1283100,0.0
2017-09-13,106.8,107.36,105.8,105.92,105.92,1013000,0.0
2017-09-14,107.0,107.92,106.16,107.72,107.72,1055600,0.0
2017-09-15,107.84,108.32,105.44,106.72,106.72,1293600,0.0
2017-09-18,106.28,108.04,105.28,107.08,107.08,1327900,0.0
2017-09-19,106.52,107.6,106.08,106.52,106.52,753300,0.0
2017-09-20,106.72,109.96,106.28,107.48,107.48,1872200,0.0
2017-09-21,107.76,110.64,107.76,109.52,109.52,1753900,0.0
2017-09-22,110.64,110.92,109.36,109.84,109.84,1192500,0.0
2017-09-25,111.2,114.96,111.0,113.24,113.24,2628200,0.0
2017-09-26,111.56,113.64,110.92,112.48,112.48,1692900,0.0
2017-09-27,110.72,111.52,108.16,109.4,109.4,1961900,0.0
2017-09-28,110.2,110.96,109.2,109.64,109.64,1156200,0.0
2017-09-29,108.88,109.76,107.0,107.24,107.24,1470400,0.0
2017-10-02,106.72,108.4,105.64,106.92,106.92,1321500,0.0
2017-10-03,106.56,107.2,105.88,106.28,106.28,1038900,0.0
2017-10-04,106.88,107.16,105.28,105.96,105.96,1281600,0.0
2017-10-05,104.84,105.2,102.76,102.92,102.92,1748300,0.0
2017-10-06,103.88,103.92,102.48,102.52,102.52,1613100,0.0
2017-10-09,102.04,103.2,101.72,102.8,102.8,942100,0.0
2017-10-10,101.76,104.0,101.48,102.6,102.6,1073100,0.0
2017-10-11,102.72,103.16,101.64,101.68,101.68,891700,0.0
2017-10-12,102.12,102.6,101.08,102.32,102.32,957700,0.0
2017-10-13,101.0,101.44,100.72,101.16,101.16,933900,0.0
2017-10-16,100.36,101.04,100.0,100.12,100.12,875300,0.0
2017-10-17,100.24,100.64,99.68,99.8,99.8,840200,0.0
2017-10-18,99.36,100.52,99.36,100.08,100.08,1022900,0.0
2017-10-19,101.76,103.32,101.16,101.24,101.24,1296500,0.0
2017-10-20,99.96,100.76,99.68,100.44,100.44,871000,0.0
2017-10-23,99.8,102.8,99.76,102.4,102.4,1580600,0.0
2017-10-24,101.84,103.0,101.2,101.84,101.84,1162600,0.0
2017-10-25,102.48,105.28,101.48,103.08,103.08,2032200,0.0
2017-10-26,103.16,104.12,102.48,104.0,104.0,1293300,0.0
2017-10-27,99.0,99.28,94.4,95.0,95.0,3479000,0.0
2017-10-30,95.32,95.48,93.2,94.32,94.32,2188300,0.0
2017-10-31,93.48,94.24,92.88,93.32,93.32,1264900,0.0
2017-11-01,92.16,94.44,92.0,93.44,93.44,1502600,0.0
2017-11-02,93.72,95.84,93.6,93.96,93.96,1433800,0.0
2017-11-03,92.8,93.88,91.2,91.28,91.28,1481100,0.0
2017-11-06,91.44,91.56,90.24,90.36,90.36,973100,0.0
2017-11-07,90.56,91.12,89.84,90.24,90.24,1483000,0.0
2017-11-08,90.28,90.68,89.04,89.08,89.08,1118000,0.0
2017-11-09,91.28,93.24,90.36,90.56,90.56,2867000,0.0
2017-11-10,91.16,91.64,90.32,90.52,90.52,1115000,0.0
2017-11-13,91.52,91.56,89.84,90.2,90.2,1031800,0.0
2017-11-14,91.2,92.48,90.88,91.16,91.16,1644800,0.0
2017-11-15,92.4,93.92,91.76,92.56,92.56,1791900,0.0
2017-11-16,91.04,91.08,88.32,88.96,88.96,1925400,0.0
2017-11-17,88.92,90.24,88.72,90.04,90.04,1286600,0.0
2017-11-20,89.8,90.6,89.56,90.24,90.24,647700,0.0
2017-11-21,88.96,89.04,87.2,87.32,87.32,1365200,0.0
2017-11-22,87.08,87.56,86.76,87.0,87.0,659000,0.0
2017-11-24,86.72,86.88,86.0,86.04,86.04,466500,0.0
2017-11-27,86.2,86.76,85.56,86.16,86.16,895900,0.0
2017-11-28,85.6,87.0,85.4,85.52,85.52,1634700,0.0
2017-11-29,85.8,91.16,85.8,89.96,89.96,3398800,0.0
2017-11-30,88.88,89.48,87.28,87.8,87.8,2203900,0.0
2017-12-01,89.4,92.68,87.64,88.88,88.88,3349800,0.0
2017-12-04,87.2,92.2,86.92,92.0,92.0,2557500,0.0
2017-12-05,92.12,93.04,88.64,91.8,91.8,2350600,0.0
2017-12-06,92.84,93.16,90.16,90.64,90.64,1760100,0.0
2017-12-07,90.6,90.88,88.92,89.68,89.68,1600900,0.0
2017-12-08,87.68,88.92,87.04,88.56,88.56,1258700,0.0
2017-12-11,88.44,88.44,86.36,86.44,86.44,1207900,0.0
