Date,Open,High,Low,Close,Adj Close,Volume
2015-09-09,199.32,199.47,-5,1.0,1.0,149347700
2015-09-10,194.56,197.22,-5,1.0,1.0,158611100
2015-09-11,195.38,196.82,-5,1.0,1.0,119691200
2015-09-14,196.95,197.01,-5,1.0,1.0,79452000
2015-09-15,196.61,198.99,-5,1.0,1.0,113806200
2015-09-16,198.82,200.41,-5,1.0,1.0,99581600
2015-09-17,200.02,202.89,-5,1.0,1.0,276046600
2015-09-18,195.71,198.68,-5,1.0,1.0,223657500
2015-09-21,196.44,197.68,-5,1.0,1.0,105726200
2015-09-22,193.88,194.46,-5,1.0,1.0,153890900
2015-09-23,194.11,194.67,-5,1.0,1.0,92790600
2015-09-24,192.15,193.45,-5,1.0,1.0,159378800
2015-09-25,194.64,195.0,-5,1.0,1.0,155054800
2015-09-28,191.78,191.91,-5,1.0,1.0,178515900
2015-09-29,188.27,189.74,-5,1.0,1.0,159045600
2015-09-30,190.37,191.83,-5,1.0,1.0,163452000
2015-10-01,192.08,192.49,-5,1.0,1.0,131079000
2015-10-02,189.77,195.03,-5,1.0,1.0,211003300
2015-10-05,196.46,198.74,-5,1.0,1.0,126320800
2015-10-06,198.31,198.98,-5,1.0,1.0,110274500
2015-10-07,198.9,199.83,-5,1.0,1.0,124307300
2015-10-08,198.95,201.55,-5,1.0,1.0,153055200
2015-10-09,201.38,201.9,-5,1.0,1.0,107069200
2015-10-12,201.42,201.76,-5,1.0,1.0,56395600
2015-10-13,200.65,202.16,-5,1.0,1.0,88038700
2015-10-14,200.18,200.87,-5,1.0,1.0,99106200
2015-10-15,200.08,202.36,-5,1.0,1.0,134142200
2015-10-16,202.83,203.29,-5,1.0,1.0,114580100
2015-10-19,202.5,203.37,-5,1.0,1.0,76523900
2015-10-20,202.85,203.84,-5,1.0,1.0,78448500
2015-10-21,203.61,203.79,-5,1.0,1.0,102038000
2015-10-22,202.98,205.51,-5,1.0,1.0,174911700
2015-10-23,207.25,207.95,-5,1.0,1.0,144442300
2015-10-26,207.3,207.37,-5,1.0,1.0,69033000
2015-10-27,206.2,207.0,-5,1.0,1.0,77905800
2015-10-28,207.0,208.98,-5,1.0,1.0,135906700
2015-10-29,208.35,209.27,-5,1.0,1.0,90525500
2015-10-30,209.06,209.44,-5,1.0,1.0,131076900
2015-11-02,208.32,210.62,-5,1.0,1.0,86270800
2015-11-03,209.97,211.66,-5,1.0,1.0,95246100
2015-11-04,211.35,211.5,-5,1.0,1.0,96224500
2015-11-05,210.43,210.98,-5,1.0,1.0,78408700
2015-11-06,209.74,210.32,-5,1.0,1.0,110471500
2015-11-09,209.31,209.49,-5,1.0,1.0,131008700
